floss#,description,red,green,blue,hex,row,prim-sec-ter
3810,Turquoise Dark,72,142,154,488E9A,row 08-17,Turquoise
3809,Turquoise Vy Dark,63,124,133,3F7C85,row 08-18,Turquoise
3808,Turquoise Ult Vy Dk,54,105,112,366970,row 08-19,Turquoise
3846,Turquoise Bright Light,6,227,230,06E3E6,row 06-20,Turquoise
3845,Turquoise Bright Med,4,196,202,04C4CA,row 06-21,Turquoise
3844,Turquoise Bright Dark,18,174,186,12AEBA,row 06-22,Turquoise
327,Violet Dark,99,54,102,633666,row 05-06,Violet
153,Violet Very Light,230,204,217,E6CCD9,row 05-07,Violet
554,Violet Light,219,179,203,DBB3CB,row 05-08,Violet
553,Violet,163,99,139,A3638B,row 05-09,Violet
552,Violet  Medium,128,58,107,803A6B,row 05-10,Violet
550,Violet Very Dark,92,24,78,5C184E,row 05-11,Violet
3743,Antique Violet Vy Lt,215,203,211,D7CBD3,row 04-15,Violet
3042,Antique Violet Light,183,157,167,B79DA7,row 04-16,Violet
3041,Antique Violet Medium,149,111,124,956F7C,row 04-17,Violet
3740,Antique Violet Dark,120,87,98,785762,row 04-18,Violet
3747,Blue Violet Vy Lt,211,215,237,D3D7ED,row 05-12,Blue Violet
341,Blue Violet Light,183,191,221,B7BFDD,row 05-13,Blue Violet
156,Blue Violet Med Lt,163,174,209,A3AED1,row 05-14,Blue Violet
340,Blue Violet Medium,173,167,199,ADA7C7,row 05-15,Blue Violet
155,Blue Violet Med Dark,152,145,182,9891B6,row 05-16,Blue Violet
3746,Blue Violet Dark,119,107,152,776B98,row 05-17,Blue Violet
333,Blue Violet Very Dark,92,84,120,5C5478,row 05-18,Blue Violet
518,Wedgewood Light,79,147,167,4F93A7,row 08-04,Wedgewood
3760,Wedgewood Med,62,133,162,3E85A2,row 08-05,Wedgewood
517,Wedgewood Dark,59,118,143,3B768F,row 08-06,Wedgewood
3842,Wedgewood Vry Dk,50,102,124,32667C,row 08-07,Wedgewood
311,Wedgewood Ult VyDk,28,80,102,1C5066,row 08-08,Wedgewood
White,White,252,251,248,FCFBF8,row 18-02,White
3865,Winter White,249,247,241,F9F7F1,row 18-03,White
743,Yellow Med,254,211,118,FED376,row 14-12,Yellow
3823,Yellow Ultra Pale,255,253,227,FFFDE3,row 15-19,Yellow
3078,Golden Yellow Vy Lt,253,249,205,FDF9CD,row 14-05,Yellow
745,Yellow Pale Light,255,233,173,FFE9AD,row 14-10,Yellow
744,Yellow Pale,255,231,147,FFE793,row 14-11,Yellow
