thread#,description,red,green,blue,row
524,Fern Green Vy Lt,196,205,172,row 11-23
522,Fern Green,150,158,126,row 11-24
520,Fern Green Dark,102,109,79,row 11-25
164,Forest Green Lt,200,216,184,row 10-15
989,Forest Green,141,166,117,row 10-16
988,Forest Green Med,115,139,91,row 10-17
987,Forest Green Dk,88,113,65,row 10-18
986,Forest Green Vy Dk,64,82,48,row 10-19
928,Gray Green Vy Lt,221,227,227,row 08-20
927,Gray Green Light,189,203,203,row 08-21
926,Gray Green Med,152,174,174,row 08-22
3768,Gray Green Dark,101,127,127,row 08-23
924,Gray Green Vy Dark,86,106,106,row 08-24
3851,Green Bright Lt,73,179,161,row 09-05
943,Green Bright Md,61,147,132,row 09-06
3850,Green Bright Dk,55,132,119,row 09-07
3346,Hunter Green,64,106,58,row 10-23
3345,Hunter Green Dk,27,89,21,row 10-24
895,Hunter Green Vy Dk,27,83,0,row 10-25
702,Kelly Green,71,167,47,row 11-03
3013,Khaki Green Lt,185,185,130,row 12-14
3012,Khaki Green Md,166,167,93,row 12-15
3011,Khaki Green Dk,137,138,88,row 12-16
165,Moss Green Vy Lt,239,244,164,row 12-04
3819,Moss Green Lt,224,232,104,row 12-05
166,Moss Green Md Lt,192,200,64,row 12-06
581,Moss Green,167,174,56,row 12-07
580,Moss Green Dk,136,141,51,row 12-08
955,Nile Green Light,162,214,173,row 10-01
954,Nile Green,136,186,145,row 10-02
913,Nile Green Med,109,171,119,row 10-03
734,Olive Green Lt,199,192,119,row 12-09
733,Olive Green Md,188,179,76,row 12-10
732,Olive Green,148,140,54,row 12-11
731,Olive Green Dk,147,139,55,row 12-12
730,Olive Green V Dk,130,123,48,row 12-13
907,Parrot Green Lt,199,230,102,row 11-07
906,Parrot Green Md,127,179,53,row 11-08
905,Parrot Green Dk,98,138,40,row 11-09
904,Parrot Green V Dk,85,120,34,row 11-10
3364,Pine Green,131,151,95,row 12-01
3363,Pine Green Md,114,130,86,row 12-02
3362,Pine Green Dk,94,107,71,row 12-03
369,Pistachio Green Vy Lt,215,237,204,row 10-09
368,Pistachio Green Lt,166,194,152,row 10-10
320,Pistachio Green Med,105,136,90,row 10-11
367,Pistachio Green Dk,97,122,82,row 10-12
319,Pistachio Grn Vy Dk,32,95,46,row 10-13
890,Pistachio Grn Ult V D,23,73,35,row 10-14
964,Sea Green Light,169,226,216,row 09-01
959,Sea Green Med,89,199,180,row 09-02
958,Sea Green Dark,62,182,161,row 09-03
3812,Sea Green Vy Dk,47,140,132,row 09-04
3849,Teal Green Light,82,179,164,row 08-25
3848,Teal Green Med,85,147,146,row 08-26
3847,Teal Green Dark,52,125,117,row 08-27
772,Yellow Green Vy Lt,228,236,212,row 10-20
3348,Yellow Green Lt,204,217,177,row 10-21
3347,Yellow Green Med,113,147,92,row 10-22
3053,Green Gray,156,164,130,row 11-20
3052,Green Gray Md,136,146,104,row 11-21
